SubName,SubAddress,SubEmail,SubTrait,SubPhoneNumber,InvitationStatus,BidStatus,QuoteRecieved,Project,ProjectAddress
SYSTEMS WATERPROOFING INC,,,,(714) 575 1115,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
S & H CABINETS AND MANUFACTURING INC,,,,(909) 357 0551,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PENNSYLVANIA COATINGS INC,,,,(951) 808 8800,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A M P C O CONTRACTING INC,,,,(949) 955 2255,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
OUTDOOR DESIGNS,,,,(760) 427 1000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LYNCH J A MASONRY INC,,,,(714) 522 5662,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BYROM - DAVEY INC,,,,(858) 513 7199,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KINCAID INDUSTRIES INC,,,,(760) 343 5457,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
R & J SHEET METAL INC,,,,(714) 597 6452,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ERICKSON-HALL CONSTRUCTION CO,,,,(760) 796 7700,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C BELOW INC,,,,(888) 902 3569,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BRAVO SIGN & DESIGN INC,,,,(714) 284 0500,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
EARTH MOVERS,,,,(951) 283 5524,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ASPHALT FABRIC AND ENGINEERING INC,,,,(562) 997 4129,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MCCLOSKEY PLUMBING,,,,(951) 378 3749,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SERENITY FIRE PROTECTION,,,,(714) 914 1463,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RODRIGUEZ BROTHERS ENGINEERING INC,,,,(909) 923 2837,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ACT 1 CONSTRUCTION INC,,,,(951) 735 1184,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BARKSHIRE LASER LEVELING INC,,,,(949) 240 8779,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SUPERIOR PAVEMENT MARKINGS INC,,,,(714) 995 9100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
URBAN HABITAT,,,,(760) 345 1101,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HARPER'S EQUIPMENT RENTAL,,,,(714) 826 9740,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WESTERN CONCRETE PUMPING INC,,,,(760) 598 7855,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SMITH FRANK S MASONRY INC,,,,(909) 468 0525,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KEY AIR CONDITIONING CONTRACTORS INC,,,,(562) 941 2233,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BRANDEL DON PLUMBING INC,,,,(562) 408 0400,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FENCE FACTORY,,,,(805) 644 7207,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SECURITY PAVING COMPANY INC,,,,(818) 362 9200,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CROWN FENCE CO,,,,(562) 864 5177,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHRISP COMPANY,,,,(510) 656 2840,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A M CONCRETE INCORPORATED,,,,(818) 362 8300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DILLARD ENVIRONMENTAL SERVICES,,,,(925) 634 6850,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COMET ELECTRIC INC,,,,(818) 340 0965,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LANDSCAPE SUPPORT SERVICES,,,,(818) 475 0687,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BITECH CONSTRUCTION COMPANY INC,,,,(714) 521 1477,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ZUSSER COMPANY INC,,,,(310) 230 6808,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GRANSTROM MASONRY INC,,,,(310) 327 2527,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC PLAY SYSTEMS INC,,,,(760) 599 7355,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
EVERGREEN ENVIRONMENT INC,,,,(951) 332 2218,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PREFERRED CEILINGS INC,,,,(714) 255 9336,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STREAMLINE PAINTING INC,,,,(951) 662 9329,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RANCHO PACIFIC ELECTRIC INC,,,,(909) 476 1022,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHALLENGER SHEET METAL INC,,,,(858) 547 8040,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FISCHER INC,,,,(909) 881 2910,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FRANKLIN MECHANICAL SYSTEMS INC,,,,(951) 845 1000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
UNITED SPORTS SURFACING OF AMERICA INC,,,,(949) 551 4696,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MARTINEZ CONCRETE INC,,,,(626) 334 2979,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KASA CONSTRUCTION INC,,,,(909) 457 8260,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIERRA PACIFIC ELECTRICAL CONTRACTING,,,,(951) 784 1410,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PARK WEST LANDSCAPE INC,,,,(702) 334 9531,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PARK WEST TREE CARE INC,,,,(949) 546 8300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
UNITED SITE SERVICES OF CALIFORNIA INC,,,,(800) 864 5387,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SMITHSON ELECTRIC INC,,,,(714) 997 9559,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
M S L ELECTRIC INC,,,,(714) 693 4837,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PAYCO SPECIALTIES,,,,(619) 422 9204,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C M C REBAR,,,,(858) 737 7607,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC RESTORATION GROUP INC,,,,(951) 457 4118,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BOB'S CONCRETE PUMPING INC,,,,(530) 891 5055,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DRILL TECH DRILLING & SHORING INC,,,,(925) 978 2060,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SUKUT DEVELOPMENT INC,,,,(714) 540 5351,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ALL AMERICAN ASPHALT,,,,(951) 736 7600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GREEN VISTA LANDSCAPE,,,,(916) 780 6866,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
B M P SOLUTIONS,,,,(916) 259 1806,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WEST COAST TURF,,,,(760) 340 7300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COAST RECREATION INC,,,,(714) 619 0100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INTERNATIONAL PAVING SERVICES INC,,,,(909) 794 2101,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONTINENTAL FLOORING INC,,,,(909) 941 8305,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CITY SERVICE PAVING,,,,(714) 632 6610,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COUTS HEATING & COOLING INC,,,,(951) 278 5560,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BRAVO CONCRETE CONSTRUCTION SERVICES INC,,,,(951) 680 9009,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
R V H CONSTRUCTORS INC,,,,(657) 231 6230,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RIVCO COATINGS INC,,,,(951) 878 7081,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TDN ELECTRIC INC,,,,(650) 968 8000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DANIEL'S ELECTRICAL CONSTRUCTION CO INC,,,,(909) 427 9000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WILTSHIRE URETHANE FOAM COMPANY,,,,(909) 599 1217,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
D S P ELECTRICAL CONTRACTORS INC,,,,(951) 707 4409,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HORIZONS CONSTRUCTION COMPANY INTERNATIONAL INC,,,,(714) 626 0000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
EXCLUSIVE METAL INC,,,,(951) 943 3948,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STERLING CLEANING SERVICES INC,,,,(951) 640 1434,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HERITAGE GLASS & HARDWARE LLC,,,,(714) 474 5226,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
JORDAN DRYWALL INC,,,,(714) 743 5205,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ANDERSON AIR CONDITIONING LP AN AMS COMPANY,,,,(714) 888 6800,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC PLUMBING COMPANY OF SANTA ANA,,,,(714) 547 6967,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MACK P AND S CONSTRUCTION INCORPORATED,,,,(951) 674 1267,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FIRE SAFE GROUP INC,,,,(310) 982 2703,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BORBON INCORPORATED,,,,(714) 994 0170,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WEST COAST IRON INC,,,,(619) 464 8456,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TK ELEVATOR CORPORATION,,,,(770) 799 0498,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BRISTOL OMEGA INC,,,,(909) 794 6862,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
QUEEN CITY GLASS CO,,,,(951) 719 3300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MARANATHA SHEET METAL INC,,,,(714) 602 7764,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ISEC INCORPORATED,,,,(303) 790 1444,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PENIEL CONTRACTORS INC,,,,(714) 468 3337,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WINEGARDNER MASONRY INC,,,,(909) 795 9711,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MUHLHAUSER STEEL INC,,,,(909) 877 2792,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BRADY CONSTRUCTION AND DESIGN INC,,,,(562) 424 6544,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SERVICON SYSTEMS INC,,,,(310) 204 5040,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ANGELES CONTRACTOR INC,,,,(626) 923 3800,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
AMBER STEEL CO,,,,(909) 874 2213,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LOS ANGELES ENGINEERING INC,,,,(626) 869 1406,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ARCHITECTURAL DESIGN & SIGNS INC,,,,(951) 278 0680,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MONTEREY PENINSULA ENGINEERING A PARTNERSHIP,,,,(831) 384 4081,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CROSSWIND PROPERTIES,,,,(415) 899 9908,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MAHAFFEY DON H DRILLING CO,,,,(310) 668 2030,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INNOVATIVE PAINTING & WATERPROOFING LLC,,,,(714) 257 0200,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GLOBAL TRANSLOADING LLC,,,,(562) 495 9600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GRIFFITH COMPANY,,,,(714) 984 5500,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MC INTYRE COMPANY A CALIF PARTNERSHIP THE,,,,(909) 962 6322,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TURF NOW !,,,,(818) 901 0300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHURCH & LARSEN INC,,,,(626) 303 8741,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HOWARD CONTRACTING INC,,,,(562) 596 2969,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ANTHONY MARC GLAZING CONTRACTOR INC,,,,(909) 394 4849,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
NINYO & MOORE GEOTECHNICAL & ENVIRONMENTAL SCIENCES CONSULTANTS,,,,(858) 576 1000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
AIR DESIGN SOLUTIONS,,,,(323) 727 7500,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GOLDEN STATE ROOFING,,,,(805) 215 8927,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DE VRIES CONSTRUCTION,,,,(949) 364 3816,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ROBERTSON INDUSTRIES INC,,,,(800) 858 0519,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ALCAL SPECIALTY CONTRACTING INC,,,,(916) 266 5358,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KAMRAN AND COMPANY LLC,,,,(805) 963 3016,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PLATINUM GLASS CORPORATION,,,,(909) 925 0880,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CEILING EXPERTS INC,,,,(916) 527 8007,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONTINENTAL PLUMBING INC,,,,(951) 360 8300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SARK STEEL INC,,,,(626) 332 0680,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MOODY MASONRY & CONCRETE,,,,(310) 720 6017,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONCRETE PROTECTION SYSTEMS WEST INC,,,,(909) 984 6100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BEST INTERIORS INC,,,,(714) 490 7999,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CREW INC,,,,(310) 608 6860,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TIER ONE MECHANICAL INC,,,,(424) 393 4022,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BERGMAN KPRS LLC,,,,(714) 924 7000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HYDROSPROUT INC,,,,(760) 432 8233,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HARPER ELECTRICAL CONTRACTORS INC,,,,(951) 520 0434,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SABRE COMMUNICATIONS CORPORATION,,,,(712) 258 6690,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GUERRERO BACKHOE SERVICE INC,,,,(909) 816 1617,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C S LEGACY CONSTRUCTION INC,,,,(909) 590 2626,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
U G M C,,,,(562) 921 9549,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ROCK CHARLIE FIRESTOPPING,,,,(909) 224 5971,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INTERIOR SPECIALISTS INC,,,,(858) 444 1511,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LONESTAR CONSTRUCTION INC,,,,(909) 305 0600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SAFECO FIRE PROTECTION INC,,,,(818) 683 4423,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LANCASTER STEVEN PAUL AN INDIVIDUAL,,,,(714) 427 6134,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BUCCOLA LANDSCAPE SERVICES INC,,,,(714) 630 4868,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WILSON A D INC,,,,(951) 737 3822,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SHOFFEITT PIPELINE INC,,,,(949) 581 1600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ELECNOR HAWKEYE LLC,,,,(909) 993 5470,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHAMPION STRUCTURES,,champions.structures@gmail.com,,(951) 567-9041,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KYA SERVICES LLC,,shane.collins@thekyagroup.com,,(714) 659-6477,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"AB FENCE COMPANY INC	",,sales@abfencecompany.com,,(909) 746-7764,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SPECTRATURF,,alex.stout@spectraturf.com,,(951) 736-3579,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"LMT ENTERPRISES, INC. DBA TYNER PAVING COMPANY",,tyner@tynerpaving.com,,(323) 225-8014,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"NORTHERN STATE STEEL, LLC",,paulpiker@northernstatesteel.com,,(661) 335-2866,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ZOOM RECREATION,,,,(820) 667-9440,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"GBI ELECTRIC,INC.",,ggonzalez@gbielectric.com,,(818) 262-3669,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"ABC RESOURCES, INC","1527 W STATE ST ONTARIO, CALIFORNIA 91762, UNITED STATES",estimating@abcresources.biz,,(909) 988-0390,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"SOUTHWEST V-DITCH, INC.","3625 PLACENTIA LANE RIVERSIDE, CALIFORNIA 92501, UNITED STATES",marty@swvditch.com ,,(951) 781 4303,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ESSCO,"2668 E. FOOTHILL PASADENA, CALIFORNIA 91107, UNITED STATES",Estimating@ESSCOelectric.com,,(626) 795-8641,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VENCO WESTERN,"2400 EASTMAN AVE. OXNARD, CALIFORNIA 93030, UNITED STATES",jbracamontes@vencowestern.com,LANDSCAPE,(805) 981-2400,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"TRIUMPH GEO-SYNTHETICS, INC.","1325 N. BLUE GUM ST. ANAHEIM, CALIFORNIA 92806, UNITED STATES",sales@triumphgeo.com ,MATERIALS,(714) 237 1550,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STRUCTURECAST,,bryce@structurecast.com,STRUCTURAL STEEL,(661) 833-4490,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ECONOLITE CONTROL PRODUCTS,,wsestimating@econolite.com,,(714) 630-3700,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A-1 FENCE,,,,(657) 767-3723,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SDC ENGINEERING INC,,dcanci@sdcengineering.com,STRUCTURAL STEEL,(562) 922 4420,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"ENVICOM CORPORATION	",,rlmauro@envicomcorporation.com,,(818) 879-4700,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"SOLEX CONSTRUCTION INC	",,omeed@solexconstructioninc.com,COMMUNICATIONS,(424) 400-1812,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MUSCO SPORTS LIGHTING,,bid.center@musco.com; nicholas.cobb@musco.com,ELECTRICAL,(800) 756 1205; (909) 356-4027; (714) 352-5777,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"ECO ENERGY SOLUTIONS, INC. DBA HIGH VOLT ELECTRIC",,karo@highvoltelectric.com ,,(818) 993-3732,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"SIGN SOLUTIONS USA	",,kevin@signsolutionsusa.com ,,(701) 541-0624,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
NORTHERN CALIFORNIA RECREATION,,,,(888) 418 6567,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TARPS NOW,,custom@tarpsnow.com ,,(269) 605-4797,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
OILFIELD ELECTRIC COMPANY,,alanf@oilfld.com ,ELECTRICAL,(805) 648-3131,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"COMET ELECTRIC, INC.",,jasonpennington@cometelectric.com,ELECTRICAL,(818) 340 0965,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VALLEY PRECISION GRADING,,lawrence@vpgrading.com ,,(916) 638 8800; (808) 421 7080,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DESIGN MASONRY INC,,jorge@designmasonry.com,MASONRY,(661) 298 1013,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Grit & Gravel, Inc",,andrea@gritngravelco.com ,,(818) 966-2855,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"American Landscape, Inc",,pwestimating@americanlandscape.com; jpulliam@americanlandscape.com,LANDSCAPE,(818) 999-2041,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Anton's Service, Inc.",,steve@antonservice.com,,(619) 971-9067,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Pacific Bay Equipment,,customerservice@pacificbayequipment.com,,(209) 578 3925,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Panel Built Inc,,solmsted@panelbuilt.com; info129@panelbuilt.com,METAL,(706) 723 8684; (706) 723 8699,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CENTURY PRODUCTS,,info@crbtools.com; century125@crbtools.com,LANDSCAPE MATERIALS,(714) 632-7083,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HANSON ASSOCIATES,,info@hansonassoc.com,PLAYGROUND EQUIPMENT,(714) 852 3239,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Granstrom Masonry,,estimating@granstrommasonry.com,MASONRY,(310) 327-2527,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Ferguson Waterworks Inc.,,casey.lowe@ferguson.com,PLUMBING,(858) 391-3700,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Equipment Share,,john.storm@equipmentshare.com ,,(619) 932-1269,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Capitol Valley Electric,,,ELECTRICAL,(916) 686-3244,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Superb Engineering, Inc.",,daniel@superb-engineering.com,LANDSCAPE,(909) 269-2333,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Stacy and Witbeck, Inc.",,swisocalest@stacywitbeck.com,STRUCTURAL STEEL,(510) 748-1870,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Specialized Landscape Mgmt. Service, Inc.",,remeterio@slmlandscape.com,LANDSCAPE,(805) 520-7590,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
