Category,Attribute,Value
Static Mode Settings,Date,6/27/2023
Static Mode Settings,Time,11:47:06 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/27/2023
System Check,Time,11:49:56 AM
System Check,Point name,140
System Check,Measured N,1910090.660 usft
System Check,Measured E,6283624.178 usft
System Check,Measured Z,397.992 usft
System Check,Delta N,0.016 usft
System Check,Delta E,0.026 usft
System Check,Delta Elv,0.050 usft
System Check,Base name,SALK_BASE
System Check,Base latitude,"32°54'20.78013"" N"
System Check,Base longitude,"117°09'26.18587"" W"
System Check,Base height,294.022 usft
System Check,Date,6/27/2023
System Check,Time,11:50:32 AM
System Check,Point name,142
System Check,Measured N,1910322.783 usft
System Check,Measured E,6283359.819 usft
System Check,Measured Z,402.196 usft
System Check,Delta N,0.016 usft
System Check,Delta E,0.040 usft
System Check,Delta Elv,0.054 usft
System Check,Base name,SALK_BASE
System Check,Base latitude,"32°54'20.78013"" N"
System Check,Base longitude,"117°09'26.18587"" W"
System Check,Base height,294.022 usft
Rover Setup,Date,6/27/2023
Rover Setup,Time,11:56:31 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.022 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,6/27/2023
Antenna Height,Time,11:56:31 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/27/2023
Tilt Compensation,Time,1:53:01 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,6/27/2023
Tilt Compensation,Time,2:10:51 PM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,6/27/2023
Static Mode Settings,Time,2:12:05 PM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/27/2023
Static Mode Settings,Time,2:12:05 PM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/27/2023
System Check,Time,2:32:34 PM
System Check,Point name,140
System Check,Measured N,1910090.641 usft
System Check,Measured E,6283624.150 usft
System Check,Measured Z,398.012 usft
System Check,Delta N,0.003 usft
System Check,Delta E,0.002 usft
System Check,Delta Elv,0.030 usft
System Check,Base name,SALK_BASE
System Check,Base latitude,"32°54'20.78013"" N"
System Check,Base longitude,"117°09'26.18587"" W"
System Check,Base height,294.022 usft
Rover Setup,Date,6/28/2023
Rover Setup,Time,7:20:55 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.022 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,6/28/2023
Antenna Height,Time,7:20:55 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/28/2023
Tilt Compensation,Time,7:28:35 AM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,6/28/2023
Tilt Compensation,Time,8:35:51 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:36:32 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:36:32 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/28/2023
System Check,Time,8:37:19 AM
System Check,Point name,140
System Check,Measured N,1910090.661 usft
System Check,Measured E,6283624.180 usft
System Check,Measured Z,398.013 usft
System Check,Delta N,0.017 usft
System Check,Delta E,0.028 usft
System Check,Delta Elv,0.029 usft
System Check,Base name,SALK_BASE
System Check,Base latitude,"32°54'20.78013"" N"
System Check,Base longitude,"117°09'26.18587"" W"
System Check,Base height,294.022 usft
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:41:48 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of antenna
Static Mode Settings,Vertical height,0.000 usft
Static Mode Settings,Using Quick Release,No
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:42:00 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of antenna
Static Mode Settings,Vertical height,0.000 usft
Static Mode Settings,Using Quick Release,No
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:42:13 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of antenna
Static Mode Settings,Vertical height,0.000 usft
Static Mode Settings,Using Quick Release,No
Static Mode Settings,Tilt Compensation,Disabled
Measure Control Point,Date,6/28/2023
Measure Control Point,Time,8:42:30 AM
Measure Control Point,Point name,Base 6_28-23
Measure Control Point,Latitude,"32°54'17.37049"" N"
Measure Control Point,Longitude,"117°09'25.70941"" W"
Measure Control Point,Height,296.303 usft
Measure Control Point,Northing,1910204.788 usft
Measure Control Point,Easting,6283252.779 usft
Measure Control Point,Elevation,411.575 usft
Measure Control Point,Point code,
Measure Control Point,Antenna height,0.000 usft
Base Setup,Date,6/28/2023
Base Setup,Time,8:53:01 AM
Base Setup,Base name,Base 6_28-23
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,20
Base Setup,Base ant. height(APC),0.214 usft
Base Setup,Base latitude,"32°54'17.37049"" N"
Base Setup,Base longitude,"117°09'25.70941"" W"
Base Setup,Base height,296.303 usft
Base Setup,Elevation mask,10
Rover Setup,Date,6/28/2023
Rover Setup,Time,8:54:12 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/28/2023
Antenna Height,Time,8:54:12 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/28/2023
Tilt Compensation,Time,8:56:51 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:57:32 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of antenna
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,No
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,8:57:32 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of antenna
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,No
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/28/2023
System Check,Time,9:00:48 AM
System Check,Point name,140
System Check,Measured N,1910090.650 usft
System Check,Measured E,6283624.164 usft
System Check,Measured Z,398.022 usft
System Check,Delta N,0.006 usft
System Check,Delta E,0.012 usft
System Check,Delta Elv,0.020 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
System Check,Date,6/28/2023
System Check,Time,9:01:54 AM
System Check,Point name,142
System Check,Measured N,1910322.763 usft
System Check,Measured E,6283359.829 usft
System Check,Measured Z,402.182 usft
System Check,Delta N,0.004 usft
System Check,Delta E,0.030 usft
System Check,Delta Elv,0.040 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,6/28/2023
Tilt Compensation,Time,9:05:35 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,6/28/2023
Rover Setup,Time,9:39:21 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/28/2023
Antenna Height,Time,9:39:21 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/28/2023
Tilt Compensation,Time,10:54:23 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,10:55:15 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/28/2023
Static Mode Settings,Time,10:55:15 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/28/2023
System Check,Time,10:55:38 AM
System Check,Point name,140
System Check,Measured N,1910090.644 usft
System Check,Measured E,6283624.176 usft
System Check,Measured Z,398.017 usft
System Check,Delta N,0.000 usft
System Check,Delta E,0.024 usft
System Check,Delta Elv,0.025 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Rover Setup,Date,6/29/2023
Rover Setup,Time,7:36:30 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,6/29/2023
Antenna Height,Time,7:36:30 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/29/2023
Tilt Compensation,Time,7:53:16 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,6/29/2023
Rover Setup,Time,8:18:28 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/29/2023
Antenna Height,Time,8:18:28 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/29/2023
Tilt Compensation,Time,8:25:34 AM
Tilt Compensation,Tilt Compensation,Disabled
Rover Setup,Date,6/29/2023
Rover Setup,Time,1:06:02 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,6/29/2023
Antenna Height,Time,1:06:02 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/30/2023
Rover Setup,Time,7:13:09 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/30/2023
Antenna Height,Time,7:13:09 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,6/30/2023
Tilt Compensation,Time,7:21:49 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,6/30/2023
Static Mode Settings,Time,7:22:30 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/30/2023
Static Mode Settings,Time,7:22:30 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/30/2023
System Check,Time,7:23:11 AM
System Check,Point name,142
System Check,Measured N,1910322.764 usft
System Check,Measured E,6283359.816 usft
System Check,Measured Z,402.163 usft
System Check,Delta N,0.003 usft
System Check,Delta E,0.043 usft
System Check,Delta Elv,0.021 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Static Mode Settings,Date,6/30/2023
Static Mode Settings,Time,7:24:43 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,6/30/2023
Static Mode Settings,Time,7:24:43 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,6/30/2023
System Check,Time,7:28:20 AM
System Check,Point name,142
System Check,Measured N,1910322.752 usft
System Check,Measured E,6283359.825 usft
System Check,Measured Z,402.161 usft
System Check,Delta N,0.015 usft
System Check,Delta E,0.034 usft
System Check,Delta Elv,0.019 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
System Check,Date,6/30/2023
System Check,Time,7:29:15 AM
System Check,Point name,140
System Check,Measured N,1910090.652 usft
System Check,Measured E,6283624.183 usft
System Check,Measured Z,397.995 usft
System Check,Delta N,0.008 usft
System Check,Delta E,0.031 usft
System Check,Delta Elv,0.047 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,6/30/2023
Tilt Compensation,Time,7:29:26 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,6/30/2023
Rover Setup,Time,12:59:01 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/30/2023
Antenna Height,Time,12:59:01 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/3/2023
Rover Setup,Time,9:33:55 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/3/2023
Antenna Height,Time,9:33:55 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/3/2023
Rover Setup,Time,1:57:17 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/3/2023
Antenna Height,Time,1:57:17 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/6/2023
Rover Setup,Time,8:13:03 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/6/2023
Antenna Height,Time,8:13:03 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/7/2023
Rover Setup,Time,8:14:36 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/7/2023
Antenna Height,Time,8:14:36 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,7/7/2023
Tilt Compensation,Time,9:36:58 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,7/7/2023
Static Mode Settings,Time,9:37:25 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,7/7/2023
Static Mode Settings,Time,9:37:25 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,7/7/2023
System Check,Time,10:15:12 AM
System Check,Point name,140
System Check,Measured N,1910090.638 usft
System Check,Measured E,6283624.183 usft
System Check,Measured Z,398.001 usft
System Check,Delta N,0.006 usft
System Check,Delta E,0.031 usft
System Check,Delta Elv,0.041 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,7/7/2023
Tilt Compensation,Time,10:15:25 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,7/10/2023
Rover Setup,Time,7:13:37 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/10/2023
Antenna Height,Time,7:13:37 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/10/2023
Rover Setup,Time,2:01:38 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/10/2023
Antenna Height,Time,2:01:38 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/13/2023
Rover Setup,Time,7:30:19 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/13/2023
Antenna Height,Time,7:30:19 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/13/2023
Rover Setup,Time,2:25:26 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/13/2023
Antenna Height,Time,2:25:26 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/14/2023
Rover Setup,Time,7:08:37 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/14/2023
Antenna Height,Time,7:08:37 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/14/2023
Rover Setup,Time,1:20:25 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/14/2023
Antenna Height,Time,1:20:25 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,7/17/2023
Rover Setup,Time,7:05:12 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,7/17/2023
Antenna Height,Time,7:05:12 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
DC File Information,Date,7/17/2023
DC File Information,Time,7:10:42 AM
DC File Information,Projection,
